algorithm,run,learning_rate,gamma,buffer_size,batch_size,exploration_fraction,mean_reward,std_reward,mean_adherence,model_path
DQN,1,0.0003,0.98,50000,64,0.2,-45.50495882358063,34.207976807642616,0.1266666666666666,models/dqn/dqn_run_1
DQN,2,0.001,0.99,100000,64,0.3,-42.82146988199385,63.74209114087443,0.1783333333333333,models/dqn/dqn_run_2
DQN,3,0.0005,0.97,80000,128,0.25,-31.585047787142145,28.524693781548574,0.13,models/dqn/dqn_run_3
DQN,4,0.0002,0.995,120000,64,0.15,12.4366882947218,62.903786714555366,0.2933333333333333,models/dqn/dqn_run_4
DQN,5,0.0007,0.96,60000,32,0.4,-7.58490393734902,43.46678440579676,0.2033333333333333,models/dqn/dqn_run_5
DQN,6,0.0004,0.985,90000,128,0.2,-45.15073077149737,37.89143265313833,0.138502824858757,models/dqn/dqn_run_6
DQN,7,0.0001,0.99,200000,256,0.1,-24.52122062924105,31.32504636440525,0.1683333333333333,models/dqn/dqn_run_7
DQN,8,0.0006,0.975,70000,64,0.3,-58.83091080721181,41.63770203779684,0.1294097792373654,models/dqn/dqn_run_8
DQN,9,0.0008,0.95,40000,32,0.45,-19.992936089412403,31.82165154337607,0.16,models/dqn/dqn_run_9
DQN,10,0.0003,0.992,150000,128,0.12,-21.60275041858275,43.74608415632088,0.1533333333333333,models/dqn/dqn_run_10
