algorithm,run,learning_rate,gamma,n_steps,ent_coef,mean_reward,std_reward,mean_adherence,model_path
PPO,1,0.0003,0.99,1024,0.01,3.312490314520434,51.26891241377233,0.2349999999999999,models/pg/ppo_run_1
PPO,2,0.0001,0.995,2048,0.005,-19.170412980017616,34.82660176138387,0.1383333333333333,models/pg/ppo_run_2
PPO,3,0.0005,0.98,512,0.02,-0.0865234182228373,36.59698553839881,0.2683229271501582,models/pg/ppo_run_3
PPO,4,0.0002,0.97,1024,0.03,7.11186076174487,51.97981091869779,0.2516666666666666,models/pg/ppo_run_4
PPO,5,0.0007,0.96,512,0.01,5.047970131943479,43.36791872625542,0.2233333333333333,models/pg/ppo_run_5
PPO,6,0.0003,0.985,1536,0.015,-41.05328197100941,22.051937015184937,0.2728571428571428,models/pg/ppo_run_6
PPO,7,0.0002,0.992,2048,0.008,-7.20158572667579,39.195663436112056,0.2083333333333333,models/pg/ppo_run_7
PPO,8,0.0004,0.975,768,0.02,-2.590875881183517,35.10093579754603,0.1966666666666666,models/pg/ppo_run_8
PPO,9,0.0006,0.95,512,0.04,-9.77857920863405,19.90638476937024,0.1616666666666666,models/pg/ppo_run_9
PPO,10,0.0001,0.99,1024,0.0,-26.99809778036813,11.32113440884885,0.09,models/pg/ppo_run_10
