algorithm,run,learning_rate,gamma,mean_reward,std_reward,mean_adherence,model_path
REINFORCE,1,0.001,0.99,-77.0463721500582,32.21231982438877,0.125,models/pg/reinforce/reinforce_run_1.pt
REINFORCE,2,0.0007,0.98,-11.932209951814473,11.225622065697342,0.2750442287345291,models/pg/reinforce/reinforce_run_2.pt
REINFORCE,3,0.0005,0.995,-30.5146907463732,40.743683302647256,0.1783333333333333,models/pg/reinforce/reinforce_run_3.pt
REINFORCE,4,0.002,0.97,-28.5775967949668,16.827852817149545,0.0983333333333333,models/pg/reinforce/reinforce_run_4.pt
REINFORCE,5,0.0001,0.99,-47.634330375114175,24.431568383487676,0.1583333333333333,models/pg/reinforce/reinforce_run_5.pt
REINFORCE,6,0.0008,0.96,-41.032886612962194,26.18421604245014,0.135,models/pg/reinforce/reinforce_run_6.pt
REINFORCE,7,0.0003,0.985,-40.74123937956528,25.78809774080999,0.1266666666666666,models/pg/reinforce/reinforce_run_7.pt
REINFORCE,8,0.0015,0.975,-51.820029526230144,32.0605172496591,0.1299999999999999,models/pg/reinforce/reinforce_run_8.pt
REINFORCE,9,0.0006,0.992,-14.216344271627682,11.691202823827076,0.2481240037820703,models/pg/reinforce/reinforce_run_9.pt
REINFORCE,10,0.0009,0.95,-28.87608031921843,23.224111723906287,0.1533333333333333,models/pg/reinforce/reinforce_run_10.pt
